m,x,y,z,vx,vy,vz
0.0,-26659293909.61155,150433929341.4644,-1383536392.8904743,-36447.48065157471,7182.426882623064,-2161.7872764622316
0.0,-26560089370.164967,150414365300.71838,-1377655863.5395648,-36450.20008456292,7197.710893452742,-2161.934322343713
0.0,-26667259854.9865,150435493176.49036,-1384007682.31379,-36447.26260795275,7181.201000385839,-2161.7743450110775
0.0,-26640833646.687386,150430282811.63757,-1382439684.9796615,-36447.988402854244,7185.27183086121,-2161.815055482195
0.0,-26607789459.76922,150423778513.8855,-1380484018.2051406,-36448.89318990841,7190.361907955469,-2161.86326402995
0.0,-26558570375.825592,150414067056.14053,-1377567051.277252,-36450.2410617099,7197.94680964996,-2161.9363148935035
0.0,-26589898240.753555,150420239634.95032,-1379420423.3486958,-36449.38499468189,7193.118145546401,-2161.8904818578967
0.0,-26632174239.334732,150428584811.31448,-1381928848.972877,-36448.224822048884,7186.6052910476865,-2161.826184169826
0.0,-26582884638.99831,150418862385.48004,-1379005814.2255485,-36449.576128455614,7194.198548969191,-2161.9014566620353
0.0,-26575581120.09726,150417421411.28128,-1378573419.721804,-36449.77617290385,7195.323894663868,-2161.911348317231
0.0,-26605650933.582634,150423351487.47037,-1380354929.0251281,-36448.95269077396,7190.690816289502,-2161.8670755506328
0.0,-26536822463.283028,150409770702.76883,-1376276388.320805,-36450.837155565336,7201.294637754814,-2161.9683248919073
0.0,-26563366052.404182,150415013895.33038,-1377850665.182703,-36450.10991588049,7197.206979271583,-2161.929554558798
0.0,-26618390687.17299,150425866716.66827,-1381112382.1499112,-36448.60270574865,7188.729423240632,-2161.848414440414
0.0,-26586820660.75622,150419639489.55447,-1379239897.3599665,-36449.46830652339,7193.5919858867865,-2161.894766857447
0.0,-26629633863.697285,150428078861.35806,-1381776991.8922539,-36448.295171487494,7186.996942428602,-2161.8311297391056
0.0,-26543257926.379597,150411044363.0524,-1376659353.7940736,-36450.66025019408,7200.304872065125,-2161.95961183215
0.0,-26575995324.199596,150417503215.7002,-1378597649.6309376,-36449.7644305549,7195.261560694891,-2161.9123473655945
0.0,-26588108345.493305,150419897758.30435,-1379317432.525034,-36449.4321128564,7193.395025204792,-2161.8926308069326
0.0,-26591468043.826286,150420558829.15814,-1379516266.1105008,-36449.34074207613,7192.875242262503,-2161.8879673677948
0.0,-26521000447.426132,150406647150.9844,-1375339775.3411186,-36451.26892424636,7203.735900243679,-2161.992660695549
0.0,-26553345100.423046,150413026136.09232,-1377253269.5216932,-36450.38573775771,7198.750492323794,-2161.9451628253883
0.0,-26571452507.627144,150416611902.60672,-1378331564.7993135,-36449.88847248046,7195.960041505221,-2161.9164815140057
0.0,-26569973612.02757,150416312827.12955,-1378241112.194797,-36449.92993286239,7196.188099371096,-2161.9204260174633
0.0,-26549330986.4047,150412242223.62506,-1377017683.5399299,-36450.49454816948,7199.367857100669,-2161.9501729135586
0.0,-26622396196.641994,150426660880.1154,-1381349696.1145434,-36448.49235820462,7188.111794436856,-2161.8414896638487
0.0,-26578954436.57569,150418088612.64587,-1378773698.4108362,-36449.68330780328,7194.805148717366,-2161.9071424965114
0.0,-26572448603.050827,150416803628.30676,-1378387677.5193262,-36449.8617618632,7195.8070659500545,-2161.916439323163
0.0,-26642417343.54073,150430595761.2655,-1382533267.141819,-36447.94511022077,7185.026147789418,-2161.8135483714605
0.0,-26550942736.48704,150412563439.14307,-1377114084.2745197,-36450.45007806426,7199.118969589759,-2161.947961597763
0.0,-26615292211.257343,150425256477.25336,-1380928307.4512064,-36448.68762308061,7189.206344577289,-2161.8532262966683
0.0,-26629472677.096188,150428047936.7703,-1381767590.1064448,-36448.299980894895,7187.01922957102,-2161.8310843396325
0.0,-26561005690.251484,150414542333.20993,-1377708730.0908227,-36450.175560535405,7197.569684926263,-2161.933590850244
0.0,-26563414907.426064,150415024398.5888,-1377853902.4533043,-36450.10859583662,7197.198881443842,-2161.9288565875827
0.0,-26566938905.28027,150415713408.49673,-1378059803.2104282,-36450.013107390405,7196.65574549829,-2161.924511295905
